years_experience,skills_match_score,education_level,resume_length,shortlisted
15,88.2,Masters,900,1
12,90.7,High School,679,1
2,24.3,Bachelors,505,0
3,80.2,Bachelors,423,1
11,55.6,High School,573,1
10,65.2,Masters,501,1
3,52.9,Bachelors,374,0
2,77.8,Bachelors,548,0
9,57.7,High School,520,1
2,55.4,Masters,545,1
14,74.8,Masters,880,1
2,65.3,Bachelors,449,0
3,78.4,Masters,467,1
15,100.0,Bachelors,836,1
6,100.0,Masters,480,1
3,68.8,High School,455,0
8,79.0,Bachelors,836,1
0,43.0,Masters,371,0
7,100.0,PhD,734,1
15,90.7,Bachelors,787,1
6,68.9,Masters,644,1
1,69.1,Masters,601,0
7,69.5,PhD,448,1
0,22.4,Bachelors,184,0
10,86.1,Bachelors,698,1
11,100.0,Masters,809,1
8,77.4,High School,584,1
8,73.4,Bachelors,535,1
1,55.2,High School,362,0
6,75.8,Masters,548,1
14,83.1,High School,808,1
13,86.3,Masters,560,1
9,75.9,Bachelors,276,1
2,80.3,High School,527,0
6,76.6,Bachelors,777,0
11,81.1,Bachelors,457,1
15,100.0,Masters,624,1
9,89.1,Masters,677,1
15,100.0,Bachelors,875,1
8,57.6,High School,636,1
3,60.0,Masters,354,0
11,71.0,Masters,536,1
0,72.8,Masters,542,0
1,74.0,Masters,150,1
0,38.4,Bachelors,521,0
15,97.1,Masters,840,1
13,100.0,Bachelors,900,1
11,71.5,High School,900,1
4,74.0,Masters,593,0
4,84.0,PhD,393,1
15,71.4,Masters,793,1
10,79.8,Bachelors,667,1
6,88.6,Bachelors,642,1
8,64.6,Bachelors,625,1
8,89.7,Masters,617,1
2,61.9,Bachelors,460,1
2,55.1,Masters,459,0
15,86.1,Bachelors,626,1
15,83.4,Masters,870,1
2,55.7,PhD,535,0
3,59.7,Bachelors,392,1
7,72.5,Bachelors,673,1
5,68.8,Masters,771,1
7,67.5,Bachelors,367,1
0,64.6,Masters,332,0
7,83.2,Masters,494,1
3,46.3,Bachelors,359,0
10,77.5,Masters,733,1
0,27.9,Bachelors,302,0
7,76.6,PhD,342,1
3,65.8,Bachelors,497,0
5,79.8,Masters,359,1
7,73.8,Bachelors,652,1
3,71.7,Bachelors,368,1
13,84.5,Bachelors,642,1
2,55.1,Masters,353,0
15,74.5,Masters,693,1
13,83.3,Masters,900,1
8,62.0,Bachelors,515,1
2,63.5,Masters,530,1
8,69.9,Masters,641,1
12,87.8,Bachelors,809,1
1,60.2,Bachelors,150,0
15,94.2,Bachelors,828,1
13,90.1,Bachelors,801,1
1,56.8,Bachelors,317,0
1,61.5,Masters,465,0
5,75.0,Bachelors,565,1
2,100.0,Masters,241,0
15,80.2,PhD,686,1
12,85.9,Masters,890,1
8,59.3,Masters,483,1
3,58.7,High School,599,0
0,51.1,Masters,332,0
3,61.7,Bachelors,430,0
0,63.6,Masters,492,0
13,83.7,PhD,645,1
4,42.5,Masters,387,0
15,100.0,Masters,848,1
3,76.1,Bachelors,567,0
7,65.0,High School,543,1
15,77.8,Masters,900,1
7,68.3,High School,304,0
6,78.7,Masters,519,1
2,68.6,High School,325,0
0,74.2,Masters,484,0
15,100.0,Bachelors,808,1
0,31.4,Bachelors,310,0
15,86.7,Masters,900,1
11,94.4,Bachelors,661,1
10,63.6,Bachelors,718,1
2,79.8,Bachelors,468,1
5,94.7,Bachelors,546,1
6,87.4,Bachelors,534,1
5,77.4,Bachelors,752,0
13,80.5,Masters,680,1
13,87.7,Bachelors,684,1
5,54.8,PhD,393,1
5,55.8,Bachelors,524,1
12,70.8,Bachelors,830,1
2,62.4,Bachelors,606,0
5,65.4,Masters,479,1
7,70.9,High School,592,1
10,94.4,Masters,832,1
10,66.9,Bachelors,778,1
1,61.7,Bachelors,236,0
4,63.0,Masters,460,1
13,86.4,Bachelors,825,1
0,67.8,Bachelors,156,0
11,97.1,Masters,798,1
14,99.3,Masters,632,1
15,97.5,Masters,712,1
0,39.9,Masters,347,0
4,53.0,Masters,722,0
11,70.9,Masters,900,1
12,82.4,High School,624,1
15,71.9,Masters,779,1
2,70.3,Masters,529,0
3,63.0,High School,396,0
2,32.5,Bachelors,494,0
15,66.7,High School,702,1
0,76.9,Masters,483,0
15,98.0,Bachelors,653,1
0,52.2,PhD,155,0
11,64.0,Bachelors,820,1
11,46.5,Masters,666,1
13,100.0,Bachelors,724,1
12,85.9,Masters,630,1
13,100.0,Masters,852,1
4,66.4,Masters,411,0
5,75.5,Masters,661,1
2,78.6,Masters,150,0
11,99.6,High School,386,1
8,81.0,Bachelors,721,1
4,69.3,Masters,548,1
7,71.9,Bachelors,469,0
12,65.8,Bachelors,752,1
0,55.5,Masters,374,0
13,84.3,Bachelors,652,1
4,86.2,Bachelors,378,1
14,82.8,Masters,900,1
2,77.4,Bachelors,380,0
11,73.8,High School,665,1
0,71.7,High School,286,0
3,77.4,Masters,227,0
14,100.0,PhD,738,1
12,99.9,Masters,494,1
4,78.0,Bachelors,171,0
15,100.0,PhD,767,1
6,100.0,Masters,558,1
0,85.5,Masters,287,0
15,98.2,Masters,801,1
2,54.9,Bachelors,279,0
15,93.0,Bachelors,899,1
1,30.6,Bachelors,484,0
8,85.9,Bachelors,642,1
9,63.3,Masters,490,1
14,100.0,Masters,900,1
5,100.0,Masters,605,1
9,53.7,Bachelors,834,1
2,56.2,High School,505,0
7,51.0,High School,543,1
13,57.6,Bachelors,560,1
7,69.9,Bachelors,510,1
1,72.8,Masters,466,1
15,94.3,High School,700,1
14,95.3,PhD,900,1
5,42.5,Bachelors,693,0
6,75.1,Masters,695,1
1,37.1,Bachelors,404,0
14,64.1,Bachelors,684,1
10,66.3,Masters,717,1
9,95.0,Masters,579,1
1,67.7,Bachelors,416,0
9,80.3,Bachelors,690,1
0,40.1,High School,292,0
7,69.4,Masters,628,1
0,44.4,PhD,404,0
8,89.5,High School,437,1
10,100.0,Bachelors,700,1
5,83.3,PhD,168,0
15,98.5,Bachelors,900,1
6,70.9,Masters,611,1
12,57.2,Bachelors,669,1
9,66.6,Masters,568,1
6,62.5,Bachelors,636,1
9,69.7,Bachelors,563,1
2,47.8,High School,308,0
1,64.0,Masters,340,0
8,64.5,Masters,340,1
7,100.0,Masters,401,1
12,64.8,Masters,702,1
11,92.8,Bachelors,806,1
9,67.1,High School,551,1
6,80.2,Masters,700,1
8,81.1,Bachelors,388,1
3,65.9,Bachelors,608,0
12,64.5,Bachelors,636,1
3,54.0,High School,426,0
0,60.0,Bachelors,348,0
7,76.8,Masters,646,1
15,79.7,PhD,865,1
13,100.0,Masters,900,1
15,57.6,PhD,900,1
13,87.2,PhD,755,1
11,65.7,Bachelors,736,1
2,64.2,Bachelors,420,0
6,88.5,Masters,581,1
14,64.4,Bachelors,872,1
11,100.0,Bachelors,587,1
1,62.5,Bachelors,387,0
1,65.2,Bachelors,382,0
15,65.9,Bachelors,735,1
6,68.8,Bachelors,410,1
14,100.0,Bachelors,900,1
5,74.4,Masters,802,0
2,67.4,Masters,374,0
8,76.5,Masters,677,1
9,54.8,Bachelors,794,1
14,64.7,Bachelors,855,1
13,100.0,Masters,546,1
12,94.7,Bachelors,707,1
5,86.7,Masters,540,1
9,66.9,Masters,654,1
9,76.9,Masters,539,1
5,93.5,PhD,460,1
0,39.1,Bachelors,472,0
3,80.4,Bachelors,150,0
9,70.5,Masters,710,1
5,54.7,Bachelors,511,0
14,85.0,Bachelors,720,1
5,50.7,Bachelors,279,0
10,49.0,Bachelors,514,1
11,80.6,Bachelors,755,1
4,69.0,High School,213,0
0,79.5,Masters,565,0
7,84.4,Masters,332,0
4,98.7,Masters,440,1
11,100.0,Masters,768,1
11,90.6,Bachelors,900,1
11,86.5,Bachelors,792,1
4,84.0,Bachelors,348,1
6,40.1,Masters,623,0
3,60.0,Masters,338,0
5,39.6,Bachelors,456,0
12,91.4,Bachelors,715,1
15,83.9,PhD,878,1
3,100.0,Masters,580,1
13,79.5,Masters,900,1
14,87.1,Bachelors,691,1
2,55.5,Bachelors,401,0
6,65.9,Masters,645,1
7,56.6,Masters,473,1
3,48.0,Masters,610,0
15,58.6,Masters,873,1
12,93.4,Masters,492,1
1,56.9,Masters,376,0
11,100.0,Bachelors,593,1
9,56.8,Bachelors,717,1
13,100.0,Masters,895,1
2,85.1,Bachelors,595,1
0,76.7,Bachelors,247,0
7,78.8,Masters,527,1
14,87.9,PhD,770,1
2,80.6,Bachelors,442,1
11,67.6,Bachelors,656,1
9,83.3,Masters,789,1
6,72.6,Masters,619,1
9,65.9,Masters,691,1
4,69.7,Bachelors,415,1
9,86.6,Bachelors,481,0
4,55.3,Masters,529,0
13,94.2,Masters,619,1
6,39.8,Masters,589,1
14,69.8,Bachelors,799,1
8,66.6,Bachelors,422,1
11,84.9,Bachelors,566,1
4,86.0,PhD,561,1
0,62.5,Masters,309,0
9,84.0,Bachelors,558,1
9,68.6,High School,573,1
0,67.3,Masters,300,0
14,86.3,High School,703,1
1,55.6,Masters,353,1
15,85.9,Masters,900,1
13,92.5,Bachelors,737,1
5,94.7,Bachelors,709,0
15,100.0,Masters,851,1
8,56.6,Bachelors,557,0
7,54.6,Bachelors,520,0
12,81.0,PhD,872,1
4,70.7,Masters,478,0
0,62.0,Masters,270,0
15,100.0,Bachelors,892,1
12,100.0,Bachelors,727,1
6,65.1,High School,328,0
15,84.1,Bachelors,584,1
14,97.0,Masters,667,1
4,81.4,Bachelors,299,1
5,79.5,Masters,389,1
12,75.0,Bachelors,512,1
6,60.3,Bachelors,363,1
2,52.3,PhD,344,1
11,82.4,Bachelors,636,1
9,84.8,Bachelors,708,1
15,98.5,Bachelors,817,1
2,78.8,Bachelors,528,0
4,87.7,Bachelors,500,1
5,46.9,Bachelors,408,0
8,83.3,Masters,610,1
12,91.8,Masters,691,1
13,82.4,Bachelors,845,1
11,62.6,High School,721,1
4,90.9,Masters,448,1
14,72.2,High School,854,1
0,28.4,Masters,266,0
13,87.6,Masters,834,1
13,79.9,Bachelors,721,1
13,100.0,Masters,788,1
3,78.3,PhD,334,1
4,64.7,Masters,317,1
11,76.5,Bachelors,757,1
15,88.1,Masters,900,1
9,100.0,PhD,523,1
9,85.6,Bachelors,492,1
15,70.1,Masters,900,1
4,57.3,High School,443,0
6,64.6,High School,761,1
3,50.6,Masters,576,0
0,34.5,Masters,391,0
13,96.2,Masters,799,1
13,78.9,PhD,650,1
4,84.2,Bachelors,547,1
6,69.6,Bachelors,404,1
9,75.9,PhD,668,1
9,39.2,Bachelors,852,0
5,89.6,Masters,526,1
4,69.9,Bachelors,518,1
3,52.3,High School,614,0
1,46.1,Bachelors,175,0
3,87.5,Bachelors,599,0
14,73.3,Masters,756,1
9,73.7,Masters,753,1
9,87.8,Masters,367,1
2,83.3,Bachelors,549,0
9,72.3,Bachelors,585,1
15,76.5,Bachelors,900,1
0,55.9,Bachelors,159,0
7,80.6,High School,593,0
4,82.4,Bachelors,166,0
12,60.9,Bachelors,818,1
3,65.2,Bachelors,517,0
15,61.5,High School,725,1
7,88.5,Masters,304,1
15,93.8,Bachelors,889,1
6,51.2,High School,427,0
1,90.0,PhD,301,1
0,58.0,High School,361,0
11,86.6,Masters,761,1
15,80.3,High School,647,1
15,91.1,Masters,470,1
10,67.3,High School,795,1
3,56.1,Masters,398,0
7,89.9,Bachelors,566,1
11,75.9,Masters,653,1
1,51.6,Bachelors,381,0
2,55.1,High School,439,0
11,100.0,Masters,605,1
0,70.0,High School,410,0
0,59.1,PhD,424,0
12,95.4,High School,867,1
2,63.1,Bachelors,452,0
10,68.6,Masters,592,1
4,58.4,Bachelors,274,0
11,100.0,Bachelors,744,1
2,96.5,Masters,450,1
0,66.0,Masters,265,0
0,56.5,PhD,291,0
7,69.6,Bachelors,466,1
9,64.1,Bachelors,709,0
10,68.2,Bachelors,460,1
11,68.8,Bachelors,820,1
12,84.1,Masters,882,1
12,83.3,Bachelors,679,1
11,77.3,Bachelors,681,1
14,82.2,Bachelors,900,1
13,98.7,Masters,735,1
1,63.6,PhD,296,1
12,82.8,Masters,698,1
2,58.9,Bachelors,263,1
1,86.4,Masters,574,0
2,57.9,Masters,271,0
6,73.9,High School,555,0
0,41.8,High School,225,0
9,76.2,High School,689,1
7,79.7,Bachelors,660,1
12,100.0,Masters,836,1
9,69.7,Bachelors,611,1
9,58.8,Bachelors,439,1
9,71.2,PhD,492,1
13,100.0,Masters,636,1
1,94.5,Masters,403,0
2,74.0,Bachelors,229,0
8,54.6,Bachelors,620,1
6,77.0,High School,465,1
3,49.3,Bachelors,335,0
9,70.3,Bachelors,601,1
4,72.1,Masters,699,1
1,60.3,High School,376,0
12,82.5,Bachelors,715,1
10,68.5,Bachelors,788,1
12,100.0,Masters,740,1
7,67.3,Masters,641,1
3,86.1,Masters,590,1
8,53.1,Bachelors,645,1
4,68.7,Bachelors,553,0
12,58.6,High School,900,0
8,61.0,Bachelors,547,1
3,59.6,Masters,467,0
9,100.0,PhD,789,1
4,88.9,Masters,570,1
8,94.1,PhD,688,1
7,75.7,Masters,544,0
15,85.8,High School,842,1
2,88.0,PhD,248,0
0,63.5,High School,277,0
2,65.5,Masters,367,0
15,100.0,Bachelors,727,1
3,75.7,Bachelors,464,0
1,66.9,Masters,384,0
0,50.6,Bachelors,482,0
6,61.3,Bachelors,723,0
15,82.5,Bachelors,900,1
7,78.4,Bachelors,545,1
6,89.5,PhD,450,1
13,65.6,Masters,593,1
15,58.3,Bachelors,900,1
4,51.2,Bachelors,451,0
11,77.1,Masters,596,1
0,75.4,Bachelors,426,1
6,65.3,Bachelors,378,1
12,85.3,Bachelors,722,1
6,79.5,Masters,417,1
8,58.1,Bachelors,433,1
2,83.4,Bachelors,258,0
8,63.5,Bachelors,523,1
13,100.0,Bachelors,754,1
0,59.4,Masters,451,0
0,52.4,Bachelors,160,0
13,66.8,Bachelors,709,1
3,66.5,Bachelors,662,1
15,100.0,Bachelors,886,1
8,83.5,Masters,682,1
5,75.3,Masters,649,0
12,71.5,Bachelors,738,1
10,86.4,Bachelors,541,1
2,59.4,High School,415,0
0,60.3,Masters,286,0
3,74.7,Masters,374,1
11,52.3,Bachelors,606,1
12,83.7,Masters,855,1
8,59.3,Masters,714,1
2,69.4,PhD,427,0
11,64.1,High School,632,1
8,63.7,Bachelors,669,1
6,45.0,High School,621,0
11,100.0,Masters,682,1
13,77.1,Masters,773,1
14,79.9,Masters,663,1
15,100.0,High School,716,1
3,72.0,Bachelors,412,1
2,31.0,Bachelors,375,0
9,100.0,Masters,391,1
14,100.0,Bachelors,731,1
15,100.0,High School,900,1
4,79.3,Masters,668,1
4,49.0,Bachelors,600,0
2,60.8,Bachelors,297,0
11,57.8,Bachelors,850,1
8,64.3,Masters,519,1
3,50.6,Masters,501,0
10,75.6,PhD,598,1
4,68.0,Bachelors,592,0
3,64.3,PhD,506,1
4,61.9,Masters,503,0
6,68.9,Masters,680,1
15,100.0,PhD,713,1
8,100.0,Bachelors,684,0
6,62.7,Bachelors,607,1
12,82.0,High School,900,1
4,56.6,Masters,360,0
9,90.8,Masters,632,1
9,72.1,Masters,582,1
6,58.8,Bachelors,327,0
13,100.0,Bachelors,761,1
14,65.2,Bachelors,450,1
9,42.5,Masters,539,1
4,76.5,Bachelors,302,1
2,63.5,PhD,278,0
6,59.8,Bachelors,496,1
12,100.0,Bachelors,652,1
10,92.2,Masters,900,1
10,76.6,Bachelors,521,1
1,44.4,High School,205,0
14,92.2,Bachelors,900,1
11,49.0,High School,665,1
8,73.3,PhD,485,1
9,78.7,Masters,718,1
9,78.7,Bachelors,453,1
11,81.1,Masters,853,1
0,42.6,High School,292,0
12,99.1,Masters,620,1
5,50.2,PhD,315,1
6,69.1,Masters,396,0
13,75.7,Bachelors,817,1
12,96.7,Bachelors,734,1
7,60.1,High School,486,0
9,85.8,Masters,544,1
8,78.5,Bachelors,588,1
1,32.0,Bachelors,192,0
10,84.0,PhD,603,1
9,49.4,Bachelors,568,1
1,60.3,High School,231,0
4,50.0,High School,540,0
12,99.3,Bachelors,716,1
4,58.3,High School,366,0
5,55.9,Bachelors,301,1
2,79.5,Bachelors,444,0
7,58.4,Bachelors,513,1
15,100.0,Masters,635,1
12,88.5,Bachelors,754,1
0,55.8,Masters,232,0
5,47.5,Bachelors,588,0
3,82.1,Bachelors,340,0
0,72.5,PhD,223,0
14,69.4,High School,649,1
6,73.2,Bachelors,564,1
8,92.3,Masters,595,1
12,86.9,Masters,863,1
3,67.1,Bachelors,301,0
3,79.0,Bachelors,604,1
5,94.3,Masters,585,1
11,81.5,Masters,799,1
14,60.9,High School,840,0
2,37.5,High School,573,0
12,71.1,Bachelors,889,1
11,65.5,Bachelors,692,1
5,42.3,Bachelors,531,0
6,97.2,Bachelors,707,1
10,85.4,Bachelors,585,1
9,67.6,Bachelors,577,1
9,82.5,PhD,760,1
2,34.7,Bachelors,323,0
6,86.9,Bachelors,469,1
13,54.3,Bachelors,653,1
2,76.7,PhD,316,1
12,57.7,Masters,599,1
12,79.0,Masters,539,1
1,78.1,Bachelors,421,0
11,58.7,Masters,613,1
13,81.3,Bachelors,683,1
9,84.9,Bachelors,592,1
3,74.2,Masters,401,1
11,84.3,Masters,766,1
7,82.7,Masters,610,1
12,76.1,Masters,836,1
14,100.0,PhD,900,1
8,49.3,Bachelors,639,0
6,86.9,Bachelors,318,0
0,55.8,High School,311,0
2,74.5,Masters,326,0
12,93.4,Bachelors,676,1
11,91.6,Masters,584,1
13,71.3,Bachelors,900,1
8,69.2,Bachelors,329,1
14,59.2,High School,809,1
11,75.0,Bachelors,683,1
0,66.1,Masters,474,0
8,78.1,High School,678,1
7,77.4,Bachelors,579,1
0,26.7,High School,462,0
5,59.1,Bachelors,390,0
4,55.6,Bachelors,460,0
5,47.8,Bachelors,427,0
9,66.7,Masters,653,1
11,79.5,Bachelors,757,1
12,100.0,Bachelors,624,1
15,77.0,Masters,900,1
12,64.6,Bachelors,900,1
12,72.5,Bachelors,846,1
